solar irradiance	太阳辐照度
chair facilitation	chairfacilitation
chair chairing	chairchairing
chair leading	chairleading
chair transcription	chairtranscription
chair follow-up	chairfollow-up
chair elaboration	chairelaboration
secretary preparation	secretarypreparation
secretary moderation	secretarymoderation
secretary hosting	secretaryhosting
secretary leading	secretaryleading
secretary recording	secretaryrecording
secretary transcription	secretarytranscription
proposal organization	proposalorganization
proposal scheduling	proposalscheduling
proposal moderation	proposalmoderation
proposal contribution	proposalcontribution
proposal involvement	proposalinvolvement
proposal summarization	proposalsummarization
recommendation coordination	recommendationcoordination
recommendation leading	recommendationleading
recommendation documentation	recommendationdocumentation
recommendation recording	recommendationrecording
recommendation transcription	recommendationtranscription
recommendation follow-up	recommendationfollow-up
recommendation monitoring	recommendationmonitoring
recommendation elaboration	recommendationelaboration
decision moderation	decisionmoderation
decision contribution	decisioncontribution
decision summarization	decisionsummarization
decision review	decisionreview
decision demonstration	decisiondemonstration
decision explanation	decisionexplanation
decision clarification	decisionclarification
resolution organization	resolutionorganization
resolution coordination	resolutioncoordination
resolution scheduling	resolutionscheduling
resolution chairing	resolutionchairing
resolution documentation	resolutiondocumentation
resolution recording	resolutionrecording
resolution transcription	resolutiontranscription
resolution reporting	resolutionreporting
resolution monitoring	resolutionmonitoring
resolution review	resolutionreview
resolution evaluation	resolutionevaluation
resolution demonstration	resolutiondemonstration
resolution clarification	resolutionclarification
action organization	actionorganization
action coordination	actioncoordination
action planning	actionplanning
action contribution	actioncontribution
action monitoring	actionmonitoring
action review	actionreview
document scheduling	documentscheduling
document leading	documentleading
document contribution	documentcontribution
document recording	documentrecording
document clarification	documentclarification
document elaboration	documentelaboration
file preparation	filepreparation
file chairing	filechairing
file participation	fileparticipation
file documentation	filedocumentation
file recording	filerecording
file monitoring	filemonitoring
file review	filereview
record preparation	recordpreparation
record organization	recordorganization
record planning	recordplanning
record hosting	recordhosting
record leading	recordleading
record attendance	recordattendance
record summarization	recordsummarization
record review	recordreview
note coordination	notecoordination
note moderation	notemoderation
note tracking	notetracking
note monitoring	notemonitoring
note review	notereview
note explanation	noteexplanation
memo scheduling	memoscheduling
memo hosting	memohosting
memo documentation	memodocumentation
memo summarization	memosummarization
memo reporting	memoreporting
memo tracking	memotracking
memo monitoring	memomonitoring
memo elaboration	memoelaboration
video coordination	videocoordination
video moderation	videomoderation
video hosting	videohosting
video leading	videoleading
video participation	videoparticipation
video contribution	videocontribution
video monitoring	videomonitoring
video review	videoreview
video explanation	videoexplanation
audio participation	audioparticipation
audio attendance	audioattendance
audio contribution	audiocontribution
audio tracking	audiotracking
audio review	audioreview
audio presentation	audiopresentation
audio demonstration	audiodemonstration
audio clarification	audioclarification
audio elaboration	audioelaboration
connection facilitation	connectionfacilitation
connection participation	connectionparticipation
connection engagement	connectionengagement
connection involvement	connectioninvolvement
connection documentation	connectiondocumentation
connection reporting	connectionreporting
connection follow-up	connectionfollow-up
connection monitoring	connectionmonitoring
connection presentation	connectionpresentation
connection clarification	connectionclarification
link participation	linkparticipation
link attendance	linkattendance
link transcription	linktranscription
link explanation	linkexplanation
invitation organization	invitationorganization
invitation coordination	invitationcoordination
invitation planning	invitationplanning
invitation moderation	invitationmoderation
invitation hosting	invitationhosting
invitation documentation	invitationdocumentation
invitation reporting	invitationreporting
invitation follow-up	invitationfollow-up
invitation tracking	invitationtracking
invitation presentation	invitationpresentation
room facilitation	roomfacilitation
room chairing	roomchairing
room engagement	roomengagement
room contribution	roomcontribution
room documentation	roomdocumentation
room recording	roomrecording
room follow-up	roomfollow-up
room review	roomreview
room presentation	roompresentation
room demonstration	roomdemonstration
venue preparation	venuepreparation
venue coordination	venuecoordination
venue participation	venueparticipation
venue contribution	venuecontribution
venue tracking	venuetracking
venue review	venuereview
venue demonstration	venuedemonstration
venue clarification	venueclarification
location coordination	locationcoordination
location scheduling	locationscheduling
location planning	locationplanning
