完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[5460] approval of minutes | 通过会议记录 | 商务会议用语 | 难度★★★
[5461] matters arising | 前次遗留事项 | 商务会议用语 | 难度★★★
[5462] old business | 旧事项 | 商务会议用语 | 难度★★★
[5463] executive session | 闭门会议 | 商务会议用语 | 难度★★★
[5464] retrospective | 回顾会议 | 商务会议用语 | 难度★★
[5465] post-mortem | 事后复盘 | 商务会议用语 | 难度★★★
[5466] brown bag session | 午餐学习会 | 商务会议用语 | 难度★★★
[5467] slide master | 幻灯片母版 | 商务会议用语 | 难度★★★
[5468] talking points | 谈话要点 | 商务会议用语 | 难度★★
[5469] speaker notes | 演讲者备注 | 商务会议用语 | 难度★★
[5470] leave-behind | 会后资料 | 商务会议用语 | 难度★★★
[5471] projector | 投影仪 | 商务会议用语 | 难度★
[5472] screen sharing | 屏幕共享 | 商务会议用语 | 难度★
[5473] video conferencing | 视频会议 | 商务会议用语 | 难度★
[5474] virtual background | 虚拟背景 | 商务会议用语 | 难度★★
[5475] raise hand | 举手 | 商务会议用语 | 难度★
[5476] whiteboard | 白板 | 商务会议用语 | 难度★
[5477] action item | 行动项 | 商务会议用语 | 难度★
[5478] owner | 负责人 | 商务会议用语 | 难度★
[5479] meeting minutes | 会议记录 | 商务会议用语 | 难度★
[5480] executive summary | 执行摘要 | 商务会议用语 | 难度★★
[5481] RAID log | RAID日志 | 商务会议用语 | 难度★★★★
[5482] risk register | 风险登记册 | 商务会议用语 | 难度★★★
[5483] minutes of meeting | 会议纪要 | 商务会议用语 | 难度★
[5484] mute | 静音 | 商务会议用语 | 难度★
[5485] meeting ID | 会议ID | 商务会议用语 | 难度★
[5486] co-host | 联席主持人 | 商务会议用语 | 难度★★★
[5487] off-topic | 跑题 | 商务会议用语 | 难度★★
[5488] green light | 放行/批准 | 商务会议用语 | 难度★★
[5489] yellow flag | 预警标志 | 商务会议用语 | 难度★★★
[5490] escalation path | 上报路径 | 商务会议用语 | 难度★★★
[5491] bypass protocol | 越级上报 | 商务会议用语 | 难度★★★
[5492] critical path | 关键路径 | 商务会议用语 | 难度★★★
[5493] gold plating | 镀金 | 商务会议用语 | 难度★★★
[5494] expectation management | 期望管理 | 商务会议用语 | 难度★★
[5495] set the tone | 定调 | 商务会议用语 | 难度★★
[5496] singing from the same hymn sheet | 步调一致 | 商务会议用语 | 难度★★★
[5497] touch point | 接触点 | 商务会议用语 | 难度★★
[5498] face time | 当面交流 | 商务会议用语 | 难度★★
[5499] water cooler conversation | 茶水间闲聊 | 商务会议用语 | 难度★★★
[5500] corridor conversation | 走廊交谈 | 商务会议用语 | 难度★★★
[5501] wash-up meeting | 总结会议 | 商务会议用语 | 难度★★★
[5502] lessons learned | 经验教训 | 商务会议用语 | 难度★★
[5503] conference organization | conferenceorganization | 商务会议用语 | 难度★★
[5504] conference coordination | conferencecoordination | 商务会议用语 | 难度★★
[5505] conference scheduling | conferencescheduling | 商务会议用语 | 难度★★
[5506] conference planning | conferenceplanning | 商务会议用语 | 难度★★
[5507] conference participation | conferenceparticipation | 商务会议用语 | 难度★★
[5508] conference contribution | conferencecontribution | 商务会议用语 | 难度★★
[5509] conference documentation | conferencedocumentation | 商务会议用语 | 难度★★
[5510] conference reporting | conferencereporting | 商务会议用语 | 难度★★
[5511] conference review | conferencereview | 商务会议用语 | 难度★★
[5512] conference presentation | conferencepresentation | 商务会议用语 | 难度★★
[5513] conference elaboration | conferenceelaboration | 商务会议用语 | 难度★★
[5514] symposium scheduling | symposiumscheduling | 商务会议用语 | 难度★★
[5515] symposium participation | symposiumparticipation | 商务会议用语 | 难度★★
[5516] symposium engagement | symposiumengagement | 商务会议用语 | 难度★★
[5517] symposium involvement | symposiuminvolvement | 商务会议用语 | 难度★★
[5518] symposium documentation | symposiumdocumentation | 商务会议用语 | 难度★★
[5519] symposium summarization | symposiumsummarization | 商务会议用语 | 难度★★
[5520] symposium tracking | symposiumtracking | 商务会议用语 | 难度★★
[5521] symposium monitoring | symposiummonitoring | 商务会议用语 | 难度★★
[5522] symposium evaluation | symposiumevaluation | 商务会议用语 | 难度★★
[5523] seminar organization | seminarorganization | 商务会议用语 | 难度★★
[5524] seminar moderation | seminarmoderation | 商务会议用语 | 难度★★
[5525] seminar leading | seminarleading | 商务会议用语 | 难度★★
[5526] seminar summarization | seminarsummarization | 商务会议用语 | 难度★★
[5527] seminar reporting | seminarreporting | 商务会议用语 | 难度★★
[5528] seminar evaluation | seminarevaluation | 商务会议用语 | 难度★★
[5529] seminar explanation | seminarexplanation | 商务会议用语 | 难度★★
[5530] webinar preparation | webinarpreparation | 商务会议用语 | 难度★★
[5531] webinar moderation | webinarmoderation | 商务会议用语 | 难度★★
[5532] webinar hosting | webinarhosting | 商务会议用语 | 难度★★
[5533] webinar leading | webinarleading | 商务会议用语 | 难度★★
[5534] webinar attendance | webinarattendance | 商务会议用语 | 难度★★
[5535] webinar involvement | webinarinvolvement | 商务会议用语 | 难度★★
[5536] webinar documentation | webinardocumentation | 商务会议用语 | 难度★★
[5537] webinar transcription | webinartranscription | 商务会议用语 | 难度★★
[5538] webinar follow-up | webinarfollow-up | 商务会议用语 | 难度★★
[5539] webinar tracking | webinartracking | 商务会议用语 | 难度★★
[5540] webinar presentation | webinarpresentation | 商务会议用语 | 难度★★
[5541] briefing documentation | briefingdocumentation | 商务会议用语 | 难度★★
[5542] briefing review | briefingreview | 商务会议用语 | 难度★★
[5543] briefing clarification | briefingclarification | 商务会议用语 | 难度★★
[5544] briefing elaboration | briefingelaboration | 商务会议用语 | 难度★★
[5545] discussion scheduling | discussionscheduling | 商务会议用语 | 难度★★
[5546] discussion attendance | discussionattendance | 商务会议用语 | 难度★★
[5547] discussion contribution | discussioncontribution | 商务会议用语 | 难度★★
[5548] discussion involvement | discussioninvolvement | 商务会议用语 | 难度★★
[5549] discussion elaboration | discussionelaboration | 商务会议用语 | 难度★★
[5550] debate coordination | debatecoordination | 商务会议用语 | 难度★★
[5551] debate scheduling | debatescheduling | 商务会议用语 | 难度★★
[5552] debate planning | debateplanning | 商务会议用语 | 难度★★
[5553] debate facilitation | debatefacilitation | 商务会议用语 | 难度★★
[5554] debate moderation | debatemoderation | 商务会议用语 | 难度★★
[5555] debate leading | debateleading | 商务会议用语 | 难度★★
[5556] debate recording | debaterecording | 商务会议用语 | 难度★★
[5557] debate monitoring | debatemonitoring | 商务会议用语 | 难度★★
[5558] debate elaboration | debateelaboration | 商务会议用语 | 难度★★
[5559] dialogue moderation | dialoguemoderation | 商务会议用语 | 难度★★
[5560] dialogue involvement | dialogueinvolvement | 商务会议用语 | 难度★★
[5561] dialogue elaboration | dialogueelaboration | 商务会议用语 | 难度★★
[5562] consultation planning | consultationplanning | 商务会议用语 | 难度★★
[5563] consultation facilitation | consultationfacilitation | 商务会议用语 | 难度★★
[5564] consultation chairing | consultationchairing | 商务会议用语 | 难度★★
[5565] consultation participation | consultationparticipation | 商务会议用语 | 难度★★
[5566] consultation attendance | consultationattendance | 商务会议用语 | 难度★★
[5567] consultation contribution | consultationcontribution | 商务会议用语 | 难度★★
[5568] consultation follow-up | consultationfollow-up | 商务会议用语 | 难度★★
[5569] consultation explanation | consultationexplanation | 商务会议用语 | 难度★★
[5570] review organization | revieworganization | 商务会议用语 | 难度★★
[5571] review chairing | reviewchairing | 商务会议用语 | 难度★★
[5572] review contribution | reviewcontribution | 商务会议用语 | 难度★★
[5573] review summarization | reviewsummarization | 商务会议用语 | 难度★★
[5574] review follow-up | reviewfollow-up | 商务会议用语 | 难度★★
[5575] status coordination | statuscoordination | 商务会议用语 | 难度★★
[5576] status planning | statusplanning | 商务会议用语 | 难度★★
[5577] status moderation | statusmoderation | 商务会议用语 | 难度★★
[5578] status chairing | statuschairing | 商务会议用语 | 难度★★
[5579] status hosting | statushosting | 商务会议用语 | 难度★★
[5580] status attendance | statusattendance | 商务会议用语 | 难度★★
[5581] status contribution | statuscontribution | 商务会议用语 | 难度★★
[5582] status transcription | statustranscription | 商务会议用语 | 难度★★
[5583] status summarization | statussummarization | 商务会议用语 | 难度★★
[5584] status follow-up | statusfollow-up | 商务会议用语 | 难度★★
[5585] status monitoring | statusmonitoring | 商务会议用语 | 难度★★
